Item,FN,MW,FT,WW,BS
Sawed-Off_Yorick,36685,36687,36686,36688,36684
Sawed-Off_Zander,36690,36692,36691,36693,36689
Tec-9_Army_Mesh,41961,41963,41962,41964,41960
Tec-9_Avalanche,41966,41968,41967,41969,41965
Tec-9_Bamboo_Forest,41971,41973,41972,41974,41970
Tec-9_Bamboozle,769176,769224,769180,769442,769251
Tec-9_Blast_From_the_Past,835689,835743,835657,835863,835815
Tec-9_Blue_Titanium,41975,Null,Null,Null,Null
Tec-9_Brass,41977,41979,41978,41980,41976
Tec-9_Brother,781616,781605,781567,781620,781563
Tec-9_Cracked_Opal,41982,41984,41983,41985,41981
Tec-9_Cut_Out,41987,41989,41988,41990,41986
Tec-9_Decimator,775813,775532,775056,775485,775942
Tec-9_Flash_Out,773685,773666,773535,773756,773674
Tec-9_Fubar,Null,763437,763244,763268,763249
Tec-9_Fuel_Injector,41992,41994,41993,41995,41991
Tec-9_Groundwater,41997,41999,41998,42000,41996
Tec-9_Hades,42002,42004,42003,42005,42001
Tec-9_Ice_Cap,33815,42008,42007,42009,42006
Tec-9_Isaac,42011,42012,43951,42013,42010
Tec-9_Jambiya,42015,42017,42016,42018,42014
Tec-9_Mummy's_Rot,927374,927344,927329,927353,927338
Tec-9_Nuclear_Threat,42020,42022,42021,42023,42019
Tec-9_Orange_Murano,775559,775221,775161,775675,775445
Tec-9_Ossified,42024,42025,Null,Null,Null
Tec-9_Re-Entry,42026,42028,42027,42029,Null
Tec-9_Rebel,921492,921448,921427,921441,921473
Tec-9_Red_Quartz,42030,42032,42031,43952,Null
Tec-9_Remote_Control,762220,762221,762238,762222,762219
Tec-9_Rust_Leaf,774742,774945,775042,776020,776212
Tec-9_Safety_Net,871407,871254,871249,871271,871261
Tec-9_Sandstorm,Null,42035,42034,43953,42033
Tec-9_Slag,956533,956483,956465,956564,956515
Tec-9_Snek-9,759321,759196,759173,759215,759320
Tec-9_Terrace,42037,42039,42038,42040,42036
Tec-9_Titanium_Bit,42041,42043,42042,Null,Null
Tec-9_Tornado,42045,42047,42046,42048,42044
Tec-9_Toxic,42050,42052,42051,42053,42049
Tec-9_Urban_DDPAT,42055,42057,42056,42058,42054
Tec-9_VariCamo,42060,42062,42061,42063,42059
UMP-45_Arctic_Wolf,45365,45367,45366,45403,45364
UMP-45_Blaze,42065,42066,Null,Null,Null
UMP-45_Bone_Pile,42067,42069,42068,Null,Null
UMP-45_Briefing,42071,42073,42072,42074,42070
UMP-45_Caramel,42076,42078,42077,42079,42075
UMP-45_Carbon_Fiber,42080,42081,Null,Null,Null
UMP-45_Corporal,42083,42085,42084,42086,42082
UMP-45_Crime_Scene,835557,835722,835558,835660,835540
UMP-45_Day_Lily,775111,775764,775909,775716,775949
UMP-45_Delusion,42087,42089,42088,Null,Null
UMP-45_Exposure,42091,42093,42092,42094,42090
UMP-45_Facility_Dark,762061,762093,762063,762171,762159
UMP-45_Fade,871582,871907,Null,Null,Null
UMP-45_Fallout_Warning,42096,42098,42097,42099,42095
UMP-45_Full_Stop,871248,871256,871247,871257,871252
UMP-45_Gold_Bismuth,835542,835575,835607,835749,835427
UMP-45_Grand_Prix,Null,Null,42100,Null,Null
UMP-45_Gunsmoke,42102,42104,42103,42105,42101
UMP-45_Houndstooth,835688,835450,835556,835794,835693
UMP-45_Indigo,42107,42109,42108,42110,42106
UMP-45_Labyrinth,42111,42113,42112,42114,Null
UMP-45_Mechanism,871608,871584,871192,871823,871761
UMP-45_Metal_Flowers,42116,42118,42117,42119,42115
UMP-45_Minotaur's_Labyrinth,42120,42122,42121,42123,Null
UMP-45_Momentum,763335,763284,763288,763399,763465
UMP-45_Moonrise,769130,769135,769185,769476,Null
UMP-45_Motorized,956554,956469,956459,956467,956511
UMP-45_Mudder,762164,762107,762098,762160,762072
UMP-45_Oscillator,857566,857579,857551,857638,857577
UMP-45_Plastique,773747,773636,773638,773722,773755
UMP-45_Primal_Saber,42125,42127,42126,42128,42124
UMP-45_Riot,42130,42132,42131,42133,42129
UMP-45_Roadblock,900563,900544,900473,900545,900480
UMP-45_Scaffold,42135,42137,42136,42138,42134
UMP-45_Scorched,42140,42142,42141,42143,42139
UMP-45_Urban_DDPAT,42145,42147,42146,42148,42144
UMP-45_Wild_Child,921523,921519,921536,921571,921515
USP-S_Ancient_Visions,835877,835839,835857,836161,Null
USP-S_Black_Lotus,871550,871382,871328,871409,871432
USP-S_Blood_Tiger,42149,42151,42150,Null,Null
USP-S_Blueprint,42153,42154,43999,42155,42152
USP-S_Business_Class,42157,42159,42158,42160,42156
USP-S_Caiman,42161,42163,42162,42164,Null
USP-S_Check_Engine,762162,762163,762086,762253,762161
USP-S_Cortex,45369,45371,45370,45372,45368
USP-S_Cyrex,42166,42168,42167,42169,42165
USP-S_Dark_Water,Null,42171,42170,Null,Null
USP-S_Desert_Tactical,927350,927345,927318,927327,927320
USP-S_Flashback,763263,763255,763264,763365,763348
USP-S_Forest_Leaves,42173,42175,42174,42176,42172
USP-S_Guardian,42177,42179,42178,Null,Null
USP-S_Jawbreaker,956587,956502,956527,956520,956575
USP-S_Kill_Confirmed,42181,42183,42182,42184,42180
USP-S_Lead_Conduit,42186,42188,42187,42189,42185
USP-S_Monster_Mashup,835670,835635,835636,835842,835771
USP-S_Neo-Noir,42191,42193,42192,42194,42190
USP-S_Night_Ops,42196,42198,42197,42199,42195
USP-S_Orange_Anolis,871547,871574,871455,Null,Null
USP-S_Orion,42201,42203,42202,42204,42200
USP-S_Overgrowth,42206,42208,42207,42209,42205
USP-S_Para_Green,42211,42213,42212,42214,42210
USP-S_Pathfinder,775097,775240,775106,Null,Null
USP-S_Printstream,900565,900615,900494,900631,900600
USP-S_Purple_DDPAT,871592,871355,871361,871784,871220
USP-S_Road_Rash,42216,42218,42217,42219,42215
USP-S_Royal_Blue,42221,42223,42222,42224,42220
USP-S_Serum,42225,42227,42226,Null,Null
USP-S_Stainless,42229,42231,42230,42232,42228
USP-S_Target_Acquired,835753,835723,835728,835924,836077
USP-S_The_Traitor,857686,857670,857612,857519,857640
USP-S_Ticket_to_Hell,886669,886682,886648,886997,886692
USP-S_Torque,33833,42235,42234,42236,42233
USP-S_Whiteout,871798,871443,871226,871125,871302
XM1014_Ancient_Lore,835856,835894,835864,836004,836128
XM1014_Banana_Leaf,775468,774964,774855,775295,775595
XM1014_Black_Tie,42242,42244,42243,42245,42241
XM1014_Blaze_Orange,42247,42249,42248,42250,42246
XM1014_Blue_Spruce,42252,42254,42253,42255,42251
XM1014_Blue_Steel,42257,42259,42258,42260,42256
XM1014_Blue_Tire,871503,871357,871088,871771,871737
XM1014_Bone_Machine,42262,42264,42263,42265,42261
XM1014_CaliCamo,42267,42269,42268,42270,42266
XM1014_Charter,835383,835355,835357,835369,835338
XM1014_Elegant_Vines,871499,871349,871622,Null,Null
XM1014_Entombed,781629,781643,781604,781669,781678
XM1014_Fallout_Warning,42272,42274,42273,42275,42271
XM1014_Frost_Borre,776080,775946,775687,775818,776541
XM1014_Grassland,42277,42279,42278,42280,42276
XM1014_Heaven_Guard,42282,42284,42283,42285,42281
XM1014_Hieroglyph,927302,927319,927297,927295,927321
XM1014_Incinegator,Null,769480,769173,769493,769129
XM1014_Irezumi,956513,956468,956460,956600,956489
XM1014_Jungle,42287,42289,42288,42290,42286
XM1014_Oxide_Blaze,45373,45405,45374,45375,45404
XM1014_Quicksilver,42292,42294,42293,42295,42291
XM1014_Red_Leather,42297,42299,42298,42300,42296
XM1014_Red_Python,Null,42303,42302,42304,42301
XM1014_Scumbria,42306,42308,42307,42309,42305
XM1014_Seasons,42311,42313,42312,42314,42310
XM1014_Slipstream,42316,42318,42317,42319,42315
XM1014_Teclu_Burner,42321,42323,42322,42324,42320
XM1014_Tranquility,42326,42328,42327,42329,42325
XM1014_Urban_Perforated,42331,42333,42332,42334,42330
XM1014_VariCamo_Blue,42336,42338,42337,42339,42335
XM1014_Watchdog,871678,871397,871393,871411,871439
XM1014_XOXO,857614,857642,857548,857659,857615
XM1014_Ziggy,42341,42343,42342,42344,42340
XM1014_Zombie_Offensive,886660,886652,886673,887050,887030
Zeus_x27_Olympus,956534,956472,956551,956570,956555
