Item,FN,MW,FT,WW,BS
Desert_Eagle_Hand_Cannon,34419,34421,34420,34422,34418
Desert_Eagle_Heirloom,34424,34426,34425,34427,34423
Desert_Eagle_Hypnotic,34428,34429,Null,Null,Null
Desert_Eagle_Kumicho_Dragon,34431,34433,34432,34434,34430
Desert_Eagle_Light_Rail,769171,769219,769174,769242,769245
Desert_Eagle_Mecha_Industries,763256,763254,763289,763428,763422
Desert_Eagle_Meteorite,34435,34437,34436,Null,Null
Desert_Eagle_Midnight_Storm,34439,34441,34440,34442,34438
Desert_Eagle_Mudder,34444,33834,33831,34445,34443
Desert_Eagle_Naga,34447,34449,34448,34450,34446
Desert_Eagle_Night,34452,34454,34453,34455,34451
Desert_Eagle_Night_Heist,835895,835646,835697,835937,835882
Desert_Eagle_Ocean_Drive,871585,871656,871329,871675,871859
Desert_Eagle_Oxide_Blaze,33836,34458,34457,34459,34456
Desert_Eagle_Pilot,34461,34463,34462,34464,34460
Desert_Eagle_Printstream,781660,781671,781598,781675,781694
Desert_Eagle_Sputnik,871060,871134,871189,871783,871818
Desert_Eagle_Sunset_Storm_壱,34466,34468,34467,34469,34465
Desert_Eagle_Sunset_Storm_弐,34471,34473,34472,34474,34470
Desert_Eagle_The_Bronze,835360,835407,835386,Null,Null
Desert_Eagle_Trigger_Discipline,857555,857553,857564,857562,857604
Desert_Eagle_Urban_DDPAT,34476,34478,34477,34479,34475
Desert_Eagle_Urban_Rubble,34481,34482,33838,34483,34480
Dual_Berettas_Anodized_Navy,34502,34503,Null,Null,Null
Dual_Berettas_Balance,775700,775055,774809,774832,775182
Dual_Berettas_Black_Limba,34505,34507,34506,34508,34504
Dual_Berettas_Briar,34509,34511,34510,Null,Null
Dual_Berettas_Cartel,34513,34515,34514,34516,34512
Dual_Berettas_Cobalt_Quartz,33846,34518,34517,34519,Null
Dual_Berettas_Cobra_Strike,34521,34523,34522,34524,34520
Dual_Berettas_Colony,34525,34527,34526,34528,33854
Dual_Berettas_Contractor,34530,34531,33852,34532,34529
Dual_Berettas_Demolition,Null,Null,34534,34535,34533
Dual_Berettas_Dezastre,835700,835601,835374,835573,835477
Dual_Berettas_Drift_Wood,871148,871306,871178,871472,871445
Dual_Berettas_Dualing_Dragons,34537,34539,34538,34540,34536
Dual_Berettas_Duelist,34542,34544,34543,34545,34541
Dual_Berettas_Elite_1.6,773628,773642,773613,773653,773692
Dual_Berettas_Emerald,775790,776115,Null,Null,Null
Dual_Berettas_Flora_Carnivora,900594,900503,900488,900568,900484
Dual_Berettas_Heist,835474,835451,835399,835565,835719
Dual_Berettas_Hemoglobin,34546,34548,34547,Null,Null
Dual_Berettas_Hideout,956482,956492,956457,956585,956501
Dual_Berettas_Marina,34550,34552,34551,34553,34549
Dual_Berettas_Melondrama,887040,887015,886687,887022,887012
Dual_Berettas_Moon_in_Libra,34555,34557,34556,34558,34554
Dual_Berettas_Oil_Change,871504,871489,871353,871712,871568
Dual_Berettas_Panther,34560,34562,34561,34563,34559
Dual_Berettas_Pyre,776708,775029,774960,775727,774797
Dual_Berettas_Retribution,34564,34566,34565,34567,Null
Dual_Berettas_Royal_Consorts,34569,34571,34570,34572,34568
Dual_Berettas_Shred,759195,759247,759174,759226,759352
Dual_Berettas_Stained,33829,34575,34574,34576,34573
Dual_Berettas_Switch_Board,835372,835420,835409,835410,835434
Dual_Berettas_Tread,871419,871292,871367,871244,871518
Dual_Berettas_Twin_Turbo,762258,762275,762199,762233,762198
Dual_Berettas_Urban_Shock,34578,34580,34579,34581,34577
Dual_Berettas_Ventilators,34582,34584,34583,34585,Null
FAMAS_Afterimage,34620,34622,34621,34623,Null
FAMAS_CaliCamo,871207,871185,871204,871590,871246
FAMAS_Colony,34625,34627,34626,34628,34624
FAMAS_Commemoration,773668,773757,773688,773742,773776
FAMAS_Contrast_Spray,34630,34632,34631,34633,34629
FAMAS_Crypsis,769169,769204,769140,769417,769246
FAMAS_Cyanospatter,34635,34637,34636,34638,34634
FAMAS_Dark_Water,Null,835667,835714,Null,Null
FAMAS_Decommissioned,773644,773612,773675,773639,773616
FAMAS_Djinn,34640,34642,34641,34643,34639
FAMAS_Doomkitty,Null,34645,34644,Null,Null
FAMAS_Eye_of_Athena,759249,759251,759250,759252,759248
FAMAS_Faulty_Wiring,871123,871578,871224,871570,871338
FAMAS_Hexane,34646,34648,34647,34649,Null
FAMAS_Macabre,34651,34653,34652,34654,34650
FAMAS_Mecha_Industries,34656,34658,34657,34659,34655
FAMAS_Meltdown,871289,871449,871348,871648,Null
FAMAS_Meow_36,900562,900522,900483,900468,900474
FAMAS_Neural_Net,34661,34663,34662,34664,34660
FAMAS_Night_Borre,774739,775147,774862,775582,775038
FAMAS_Prime_Conspiracy,835691,835648,835560,835683,835947
FAMAS_Pulse,34665,34667,34666,34668,Null
FAMAS_Rapid_Eye_Movement,887028,886645,886629,887004,886998
FAMAS_Roll_Cage,34670,34672,34671,34673,34669
FAMAS_Sergeant,Null,34676,34675,34677,34674
FAMAS_Spitfire,34679,34681,34680,34682,34678
